vehicle_id;activity_index;arrival_time;end_time;name;location_id;iterations;unassigned_jobs;runtime;distance;SoC;SoC %;Maximum Range;TimeStamp;Duration;Activity_counter
vehicle_LEAD_2;162;1341.2630165739668;1342.2630165739668;pickupShipment;6068627214;1000;0;26.073016666666668;4.391322000000001;2379.9651755999985;26.80140963513512;8880.0;1341.2630165739668;1.0;D
vehicle_LEAD_2;232;1342.2630165739668;1343.2630165739668;pickupShipment;6068627214;1000;0;26.073016666666668;4.391322000000001;2379.9651755999985;26.80140963513512;8880.0;1342.2630165739668;1.0;D
vehicle_LEAD_2;69;1357.9331472337055;1362.9331472337055;deliverShipment;2244471203;1000;0;26.073016666666668;5.12483;1294.2266339999985;14.57462425675674;8880.0;1357.9331472337055;5.0;1
vehicle_LEAD_2;163;1362.9331472337055;1367.9331472337055;deliverShipment;2244471203;1000;0;26.073016666666668;5.12483;1294.2266339999985;14.57462425675674;8880.0;1362.9331472337055;5.0;2
vehicle_LEAD_2;17;1368.6882457235085;1373.6882457235085;deliverShipment;2244092186;1000;0;26.073016666666668;5.162585;1238.3416829999985;13.945289222972956;8880.0;1368.6882457235085;5.0;3
vehicle_LEAD_2;233;1374.4433442133115;1379.4433442133115;deliverShipment;2244471203;1000;0;26.073016666666668;5.20034;1182.4567319999985;13.315954189189172;8880.0;1374.4433442133115;5.0;4
vehicle_LEAD_2;-2;1394.1134748730503;0.0;end;6068627214;1000;0;26.073016666666668;5.933847999999999;96.71819039999855;1.0891688108107944;8880.0;1394.1134748730503;-1394.1134748730503;end
vehicle_LEAD_3;-1;0.0;0.0;start;6068627214;1000;0;26.073016666666668;0.0;8880.0;100.0;8880.0;0.0;0.0;start
vehicle_LEAD_3;34;0.0;1.0;pickupShipment;6068627214;1000;0;26.073016666666668;0.0;8880.0;100.0;8880.0;0.0;1.0;D
vehicle_LEAD_3;56;1.0;2.0;pickupShipment;6068627214;1000;0;26.073016666666668;0.0;8880.0;100.0;8880.0;1.0;1.0;D
vehicle_LEAD_3;238;2.0;3.0;pickupShipment;6068627214;1000;0;26.073016666666668;0.0;8880.0;100.0;8880.0;2.0;1.0;D
vehicle_LEAD_3;134;3.0;4.0;pickupShipment;6068627214;1000;0;26.073016666666668;0.0;8880.0;100.0;8880.0;3.0;1.0;D
vehicle_LEAD_3;239;12.224823550352898;425.0;deliverShipment;6297154742;1000;0;26.073016666666668;0.41124199999999994;8271.2795916;93.14504044594594;8880.0;12.224823550352898;412.7751764496471;1
vehicle_LEAD_3;57;430.6232887534225;435.6232887534225;deliverShipment;6297154746;1000;0;26.073016666666668;0.6924069999999999;7855.0991586;88.45832385810812;8880.0;430.6232887534225;5.0;2
vehicle_LEAD_3;135;443.6395327209346;448.6395327209346;deliverShipment;5947870991;1000;0;26.073016666666668;1.0932199999999999;7261.815756;81.77720445945947;8880.0;443.6395327209346;5.0;3
