vehicle_id;activity_index;arrival_time;end_time;name;location_id;iterations;unassigned_jobs;runtime;distance;SoC;SoC %;Maximum Range;TimeStamp;Duration;Activity_counter;x;y
vehicle_LEAD_6;244;767.570094459811;768.570094459811;pickupShipment;6068627214;1000;0;25.070766666666668;5.836751999999999;240.43968959999927;2.7076541621621537;8880.0;767.570094459811;1.0;D;841799.1;6517403.4
vehicle_LEAD_6;98;768.570094459811;769.570094459811;pickupShipment;6068627214;1000;0;25.070766666666668;5.836751999999999;240.43968959999927;2.7076541621621537;8880.0;768.570094459811;1.0;D;841799.1;6517403.4
vehicle_LEAD_6;208;769.570094459811;770.570094459811;pickupShipment;6068627214;1000;0;25.070766666666668;5.836751999999999;240.43968959999927;2.7076541621621537;8880.0;769.570094459811;1.0;D;841799.1;6517403.4
vehicle_LEAD_6;216;770.570094459811;771.570094459811;pickupShipment;6068627214;1000;0;25.070766666666668;5.836751999999999;240.43968959999927;2.7076541621621537;8880.0;770.570094459811;1.0;D;841799.1;6517403.4
vehicle_LEAD_6;1;771.570094459811;772.7887446858626;recharge;6068627214;1000;0;25.070766666666668;5.836751999999999;240.43968959999927;2.7076541621621537;8880.0;771.570094459811;1.2186502260516363;r1;841799.1;6517403.4
vehicle_LEAD_6;1;771.570094459811;772.7887446858626;recharge;6068627214;1000;0;25.070766666666668;5.836751999999999;8880.0;100.0;8880.0;771.570094459811;1.2186502260516363;r2;841799.1;6517403.4
vehicle_LEAD_6;245;777.7240548152424;782.7240548152424;deliverShipment;35678668;1000;0;25.070766666666668;6.083517999999999;8514.7369668;95.88667755405405;8880.0;777.7240548152424;5.0;1;3.5678668E7;3.5678668E7
vehicle_LEAD_6;99;782.7240548152424;787.7240548152424;deliverShipment;35678668;1000;0;25.070766666666668;6.083517999999999;8514.7369668;95.88667755405405;8880.0;782.7240548152424;5.0;2;3.5678668E7;3.5678668E7
vehicle_LEAD_6;22;792.6593649446222;793.6593649446222;pickupShipment;6068627214;1000;0;25.070766666666668;6.330283999999999;8149.473933599999;91.7733551081081;8880.0;792.6593649446222;1.0;D;841799.1;6517403.4
vehicle_LEAD_6;226;793.6593649446222;794.6593649446222;pickupShipment;6068627214;1000;0;25.070766666666668;6.330283999999999;8149.473933599999;91.7733551081081;8880.0;793.6593649446222;1.0;D;841799.1;6517403.4
vehicle_LEAD_6;209;815.2102438428644;833.65;deliverShipment;27503216;1000;0;25.070766666666668;7.357829999999999;6628.5003443999985;74.64527414864864;8880.0;815.2102438428644;18.439756157135548;1;2.7503216E7;2.7503216E7
vehicle_LEAD_6;227;837.4536923926152;842.4536923926152;deliverShipment;27503215;1000;0;25.070766666666668;7.548014999999999;6346.9885073999985;71.47509580405404;8880.0;837.4536923926152;5.0;2;2.7503215E7;2.7503215E7
vehicle_LEAD_6;217;842.4536923926152;1132.3166666666666;deliverShipment;27503215;1000;0;25.070766666666668;7.548014999999999;6346.9885073999985;71.47509580405404;8880.0;842.4536923926152;289.86297427405145;3;2.7503215E7;2.7503215E7
vehicle_LEAD_6;23;1135.2565607868783;1251.05;deliverShipment;6970402896;1000;0;25.070766666666668;7.695009999999998;6129.4065083999985;69.02484806756755;8880.0;1135.2565607868783;115.7934392131217;4;6.970402896E9;6.970402896E9
vehicle_LEAD_6;30;1272.4794171411656;1273.4794171411656;pickupShipment;6068627214;1000;0;25.070766666666668;8.766482999999997;4543.4121737999985;51.16455150675674;8880.0;1272.4794171411656;1.0;D;841799.1;6517403.4
vehicle_LEAD_6;62;1273.4794171411656;1274.4794171411656;pickupShipment;6068627214;1000;0;25.070766666666668;8.766482999999997;4543.4121737999985;51.16455150675674;8880.0;1273.4794171411656;1.0;D;841799.1;6517403.4
vehicle_LEAD_6;182;1274.4794171411656;1275.4794171411656;pickupShipment;6068627214;1000;0;25.070766666666668;8.766482999999997;4543.4121737999985;51.16455150675674;8880.0;1274.4794171411656;1.0;D;841799.1;6517403.4
vehicle_LEAD_6;63;1277.4794731410536;1282.4794731410536;deliverShipment;5947871000;1000;0;25.070766666666668;8.866485999999997;4395.387733199998;49.49760960810809;8880.0;1277.4794731410536;5.0;1;5.947871E9;5.947871E9
